Year,State,City,Population,Month,Month_No,2W,3W,4W,Bus,Goods,Total_EV,Public_AC,Public_DC,Private,Highway_Fast,Total_Charging_Stations,Station_Utilization,Avg_Daily_Sessions,Station_ID,Station_Name,Latitude,Longitude,Station_Type,Operator,Charger_Type,Total_Chargers,AC_Chargers,DC_Chargers,Fast_Chargers,Installation_Year,Parking_Capacity,Nearby_Highway,Nearby_Mall,Nearby_Hospital,Nearby_EV_Population,Status,Fast_Charger_Ratio,DC_Ratio,Station_Age,Utilization_Level,Avg_Daily_Users,Peak_Hour_Users,Avg_Wait_Time_Min,Avg_Charging_Time_Min,Queue_Length,Energy_Delivered_kWh,Usage_Utilization,Fault_Count,Downtime_Hours,Revenue_INR,Customer_Rating,Sessions,Completed_Sessions,Cancelled_Sessions,Demand_Level,EV_Per_Station,Chargers_Per_Station,Revenue_Per_Session,Completion_Rate,Cancellation_Rate,Downtime_Percentage,Queue_Per_User
2021,0,113,2287676,4,1.0,961.0,180.0,135.0,12.0,54.0,1342.0,12.0,4.0,7.0,2.0,25.0,57.9,189.0,126,112,0.0,0.0,3,5,3,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.0,1,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,51.61538461538461,0.0,0.0,0.0,0.0,0.0,0.0
2021,0,113,2287676,3,2.0,1115.0,209.0,156.0,13.0,62.0,1555.0,12.0,4.0,7.0,2.0,25.0,57.9,189.0,126,112,0.0,0.0,3,5,3,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.0,1,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,59.80769230769231,0.0,0.0,0.0,0.0,0.0,0.0
2021,0,113,2287676,7,3.0,1142.0,214.0,160.0,14.0,64.0,1594.0,12.0,4.0,7.0,2.0,25.0,57.9,189.0,126,112,0.0,0.0,3,5,3,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.0,1,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,61.30769230769231,0.0,0.0,0.0,0.0,0.0,0.0
2021,0,113,2287676,0,4.0,1131.0,212.0,159.0,14.0,63.0,1579.0,12.0,4.0,7.0,2.0,25.0,57.9,189.0,126,112,0.0,0.0,3,5,3,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.0,1,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,60.73076923076923,0.0,0.0,0.0,0.0,0.0,0.0
2021,0,113,2287676,8,5.0,1093.0,205.0,153.0,13.0,61.0,1525.0,12.0,4.0,7.0,2.0,25.0,57.9,189.0,126,112,0.0,0.0,3,5,3,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.0,1,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,58.65384615384615,0.0,0.0,0.0,0.0,0.0,0.0
2021,0,113,2287676,6,6.0,1160.0,217.0,163.0,14.0,65.0,1619.0,12.0,4.0,7.0,2.0,25.0,57.9,189.0,126,112,0.0,0.0,3,5,3,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.0,1,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,62.26923076923077,0.0,0.0,0.0,0.0,0.0,0.0
2021,0,113,2287676,5,7.0,1188.0,222.0,167.0,14.0,66.0,1657.0,12.0,4.0,7.0,2.0,25.0,57.9,189.0,126,112,0.0,0.0,3,5,3,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.0,1,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,63.73076923076923,0.0,0.0,0.0,0.0,0.0,0.0
2021,0,113,2287676,1,8.0,1074.0,201.0,151.0,13.0,60.0,1499.0,12.0,4.0,7.0,2.0,25.0,57.9,189.0,126,112,0.0,0.0,3,5,3,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.0,1,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,57.65384615384615,0.0,0.0,0.0,0.0,0.0,0.0
2021,0,113,2287676,11,9.0,854.0,160.0,120.0,10.0,48.0,1192.0,12.0,4.0,7.0,2.0,25.0,57.9,189.0,126,112,0.0,0.0,3,5,3,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.0,1,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,45.84615384615385,0.0,0.0,0.0,0.0,0.0,0.0
2021,0,113,2287676,10,10.0,1264.0,237.0,177.0,15.0,71.0,1764.0,12.0,4.0,7.0,2.0,25.0,57.9,189.0,126,112,0.0,0.0,3,5,3,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.0,1,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,67.84615384615384,0.0,0.0,0.0,0.0,0.0,0.0
